"description","category","n_occurrences"
"inspection","monitoring_only (excluded from disturb_recent_class)",109
"stand inspection","monitoring_only (excluded from disturb_recent_class)",71
"photo only","monitoring_only (excluded from disturb_recent_class)",30
"insp","monitoring_only (excluded from disturb_recent_class)",14
"inspection - report","monitoring_only (excluded from disturb_recent_class)",9
"measurement, exp 33-1","monitoring_only (excluded from disturb_recent_class)",9
"inspection & report","monitoring_only (excluded from disturb_recent_class)",4
"inspection & report of pine knolls (refer to 1918 A)","monitoring_only (excluded from disturb_recent_class)",4
"stand examination","monitoring_only (excluded from disturb_recent_class)",4
"White Pine cruise","monitoring_only (excluded from disturb_recent_class)",4
"inspection & measurement report, exp 33-1","monitoring_only (excluded from disturb_recent_class)",3
"inspection of 1924-1925 cuttings","monitoring_only (excluded from disturb_recent_class)",3
"measurements, exp 33-1","monitoring_only (excluded from disturb_recent_class)",3
"stand exam","monitoring_only (excluded from disturb_recent_class)",3
"tally sprout stools, co-exp 35-2, plots A B & C","monitoring_only (excluded from disturb_recent_class)",3
"inspection, student exercise in mensuration","monitoring_only (excluded from disturb_recent_class)",2
"photo","monitoring_only (excluded from disturb_recent_class)",2
"plot measurement","monitoring_only (excluded from disturb_recent_class)",2
"reproduction tally","monitoring_only (excluded from disturb_recent_class)",2
"-F  E insp","monitoring_only (excluded from disturb_recent_class)",1
"burned (no record, but a map showing the area), photo only","monitoring_only (excluded from disturb_recent_class)",1
"co-exp. 53-1 control-inspection only","monitoring_only (excluded from disturb_recent_class)",1
"cutting recommendations1914 B stand inspection","monitoring_only (excluded from disturb_recent_class)",1
"Establishment of permanent plot E and measurements","monitoring_only (excluded from disturb_recent_class)",1
"experimental sanitation cut, examination of root systems","monitoring_only (excluded from disturb_recent_class)",1
"first plot inspection","monitoring_only (excluded from disturb_recent_class)",1
"insp & meas","monitoring_only (excluded from disturb_recent_class)",1
"insp & report of hdwd swales","monitoring_only (excluded from disturb_recent_class)",1
"insp & tabulation","monitoring_only (excluded from disturb_recent_class)",1
"insp for cytospora canker infection","monitoring_only (excluded from disturb_recent_class)",1
"insp for cytospora infection, none found","monitoring_only (excluded from disturb_recent_class)",1
"insp, 98% survival RP","monitoring_only (excluded from disturb_recent_class)",1
"Inspection","monitoring_only (excluded from disturb_recent_class)",1
"inspection (22-B)","monitoring_only (excluded from disturb_recent_class)",1
"inspection (23-A)","monitoring_only (excluded from disturb_recent_class)",1
"inspection (25-L)","monitoring_only (excluded from disturb_recent_class)",1
"inspection (31-A)","monitoring_only (excluded from disturb_recent_class)",1
"inspection (33-B)","monitoring_only (excluded from disturb_recent_class)",1
"inspection (arb. C)","monitoring_only (excluded from disturb_recent_class)",1
"inspection & cumulative stand record","monitoring_only (excluded from disturb_recent_class)",1
"inspection & measurement","monitoring_only (excluded from disturb_recent_class)",1
"inspection & report of pine knolls (refer to 1918A)","monitoring_only (excluded from disturb_recent_class)",1
"inspection & report of pine knolls(refer to 1918 A)","monitoring_only (excluded from disturb_recent_class)",1
"inspection & summary","monitoring_only (excluded from disturb_recent_class)",1
"inspection & tabulation","monitoring_only (excluded from disturb_recent_class)",1
"inspection for cytospora canker","monitoring_only (excluded from disturb_recent_class)",1
"inspection of reproduction","monitoring_only (excluded from disturb_recent_class)",1
"inspection one tree","monitoring_only (excluded from disturb_recent_class)",1
"inspection-report","monitoring_only (excluded from disturb_recent_class)",1
"inspection, refer to 1912 C","monitoring_only (excluded from disturb_recent_class)",1
"inspection, refer to E-1915","monitoring_only (excluded from disturb_recent_class)",1
"inspection, refer to I-1940 stand files","monitoring_only (excluded from disturb_recent_class)",1
"measure","monitoring_only (excluded from disturb_recent_class)",1
"measurement","monitoring_only (excluded from disturb_recent_class)",1
"measurement exp 56-2","monitoring_only (excluded from disturb_recent_class)",1
"measurement of Plot A, class of 1908 folder 3","monitoring_only (excluded from disturb_recent_class)",1
"partial measurement exp 56-2","monitoring_only (excluded from disturb_recent_class)",1
"photo (photo #1626 Box #4)","monitoring_only (excluded from disturb_recent_class)",1
"photo only (ref. B 1923)","monitoring_only (excluded from disturb_recent_class)",1
"photo only (snow damage)","monitoring_only (excluded from disturb_recent_class)",1
"photo only, no record","monitoring_only (excluded from disturb_recent_class)",1
"photo only, photo #1255 Box #4, Lantern Slide 040, Olivia Work ID 407845","monitoring_only (excluded from disturb_recent_class)",1
"photo only, Photo #1286 Box #3","monitoring_only (excluded from disturb_recent_class)",1
"photo only, photo #1764 Box #3","monitoring_only (excluded from disturb_recent_class)",1
"photo only, photo #2933 Box #3","monitoring_only (excluded from disturb_recent_class)",1
"photos only","monitoring_only (excluded from disturb_recent_class)",1
"remeasurement of Plot A","monitoring_only (excluded from disturb_recent_class)",1
"remeasurement of trees","monitoring_only (excluded from disturb_recent_class)",1
"remeasurement, exp 56-2","monitoring_only (excluded from disturb_recent_class)",1
"report involving data of experimental plots, 20 feet in diameter, located in the delineated area. Date of report is uncertain and has been estimated","monitoring_only (excluded from disturb_recent_class)",1
"report of land sale","monitoring_only (excluded from disturb_recent_class)",1
"Sample measurement of understory Hemlock at random throughout the area","monitoring_only (excluded from disturb_recent_class)",1
"sample plot examination","monitoring_only (excluded from disturb_recent_class)",1
"stand insp","monitoring_only (excluded from disturb_recent_class)",1
"stand inspection (1912 - 13 -14 cuttings)","monitoring_only (excluded from disturb_recent_class)",1
"stand inspection TS VI","monitoring_only (excluded from disturb_recent_class)",1
"student report: Drury, folder 14","monitoring_only (excluded from disturb_recent_class)",1
"student report: Namtvedt, folder 5","monitoring_only (excluded from disturb_recent_class)",1
"student reports of cutting operation: Heller folder 1908-1, Starr folder 1908-2&-3","monitoring_only (excluded from disturb_recent_class)",1
"student reports: Smith, folder 6 & Carini, folder 8","monitoring_only (excluded from disturb_recent_class)",1
"working plan - report","monitoring_only (excluded from disturb_recent_class)",1
"(exp 81-1) sample regen site selection","real_disturbance (counted)",15
"(exp 83-1)  approx locations & sizes of 15 openings - openings cleared","real_disturbance (counted)",15
"approx locations & sizes of 15 openings - regen of small forest openings","real_disturbance (counted)",15
"blowdown, no record","real_disturbance (counted)",13
"cutting operations of 1912","real_disturbance (counted)",13
"slash burning","real_disturbance (counted)",13
"tree from which bark samples were taken","real_disturbance (counted)",10
"six (6) per lots in burn area","real_disturbance (counted)",8
"cutting bark samples","real_disturbance (counted)",6
